energy,photons
6,2.298111e+6
7,6.383994e+6
8,1.085759e+7
9,1.433485e+7
10,1.641097e+7
11,1.364734e+7
12,1.283504e+7
13,1.254376e+7
14,1.265111e+7
15,1.248908e+7
16,1.217629e+7
17,1.174212e+7
18,1.123239e+7
19,1.068718e+7
20,1.014058e+7
21,9.594179e+6
22,9.061790e+6
23,8.546756e+6
24,8.053223e+6
25,7.578059e+6
26,7.135844e+6
27,6.716664e+6
28,6.320657e+6
29,5.948297e+6
30,5.594321e+6
31,5.263124e+6
32,4.951907e+6
33,4.657843e+6
34,4.381303e+6
35,4.119421e+6
36,3.869215e+6
37,3.634740e+6
38,3.413001e+6
39,3.201867e+6
40,3.001512e+6
41,2.810828e+6
42,2.629395e+6
43,2.453339e+6
44,2.287840e+6
45,2.128282e+6
46,1.975092e+6
47,1.828196e+6
48,1.685271e+6
49,1.547374e+6
50,1.414563e+6
51,1.284643e+6
52,1.157688e+6
53,1.033220e+6
54,909410.7
55,785832.7
56,663454.5
57,534634.2
58,404489.1
59,252580.6
60,0
